                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2343,                 0.6769,                0.98044,                0.92722,                0.80857,                0.87516,                0.48405,                 1.2889,                0.68462,                 1.0007,             0.00066435,             0.00066435,             0.00066435
                      2,                 1.1811,                0.53803,                0.95395,                0.93115,                0.84732,                0.90871,                0.54184,                  1.202,                0.50478,                0.96812,              0.0012783,              0.0012783,              0.0012783
                      3,                 1.1678,                0.52895,                0.94893,                0.93006,                0.84681,                0.91528,                0.56807,                  1.162,                0.50675,                0.95987,              0.0018395,              0.0018395,              0.0018395
                      4,                 1.1433,                0.51165,                0.94342,                0.93125,                0.82851,                0.89837,                 0.5582,                 1.1454,                0.49308,                0.95377,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.1197,                0.49525,                0.93468,                0.94564,                0.86868,                0.93223,                0.60813,                 1.1019,                0.45934,                0.93926,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.1125,                 0.4879,                0.93293,                0.93659,                0.84499,                0.91783,                0.59793,                 1.1219,                0.49834,                0.94874,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.0993,                0.47803,                0.92795,                0.94462,                0.86758,                 0.9346,                0.62479,                 1.0672,                0.44535,                 0.9295,               0.001604,               0.001604,               0.001604
                      8,                 1.0839,                  0.467,                0.92702,                0.94684,                0.86094,                0.93156,                0.60955,                 1.0726,                0.44923,                0.93053,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0748,                0.46577,                0.92713,                0.95008,                0.88274,                0.94378,                0.63375,                 1.0453,                0.42886,                0.92427,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0717,                0.45884,                0.92392,                0.95557,                0.89631,                  0.944,                  0.637,                 1.0365,                0.42085,                0.92165,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0661,                0.45211,                0.91903,                0.95765,                0.88685,                0.94567,                 0.6442,                 1.0356,                0.42151,                0.92106,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0517,                0.44664,                0.91536,                0.95072,                0.87681,                0.93299,                0.61743,                 1.0454,                0.42427,                0.92561,               0.001208,               0.001208,               0.001208
                     13,                 1.0474,                0.44195,                0.91498,                0.95379,                0.88983,                0.94715,                0.64152,                 1.0346,                0.41339,                0.92034,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0386,                0.43573,                0.91428,                0.95097,                0.88179,                0.94574,                0.63688,                 1.0586,                0.41701,                0.92614,              0.0010496,              0.0010496,              0.0010496
